src;dest;price;leave;return
BSB;SYD;3773.56;09/02/2014 01:55;04/03/2014 01:15
GYN;SYD;4326.29;08/02/2014 18:49;05/03/2014 13:04
SAO;SYD;3446.02;09/02/2014 01:30;04/03/2014 23:59
BSB;VIE;2777.29;09/02/2014 12:37;03/03/2014 12:07
GYN;VIE;2777.29;08/02/2014 09:35;05/03/2014 16:59
SAO;VIE;2472.49;09/02/2014 15:55;04/03/2014 07:35
BSB;YEA;3091.18;09/02/2014 20:16;04/03/2014 14:10
GYN;YEA;3405.08;08/02/2014 14:50;05/03/2014 15:20
SAO;YEA;2661.28;08/02/2014 22:00;04/03/2014 10:40
BSB;YMQ;2543.00;08/02/2014 20:22;02/03/2014 08:20
GYN;YMQ;2661.28;08/02/2014 13:45;04/03/2014 09:57
SAO;YMQ;2190.44;08/02/2014 23:05;03/03/2014 10:40
BSB;YYZ;2397.43;09/02/2014 02:30;04/03/2014 00:04
GYN;YYZ;2611.24;08/02/2014 18:00;05/03/2014 11:26
SAO;YYZ;2190.44;08/02/2014 07:45;03/03/2014 10:40
BSB;ZRH;2695.40;09/02/2014 12:37;03/03/2014 12:07
GYN;ZRH;2891.02;08/02/2014 11:30;05/03/2014 19:19
SAO;ZRH;2381.51;08/02/2014 22:15;01/03/2014 17:10
